Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
RNLI,Reliable Nepal Life Insurance Limited,681,Rs. 447.0,Rs. 437.0,Rs. 437.6,-6.9,36131,15948015.0,444.5,-1.55,"21 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,526,Rs. 446.3,Rs. 434.0,Rs. 436.0,-1.6,18747,8190216.1,437.6,-0.37,"25 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,758,Rs. 447.0,Rs. 435.0,Rs. 439.6,3.6,24843,10963830.6,436.0,0.83,"26 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,614,Rs. 445.0,Rs. 434.0,Rs. 438.0,-1.6,28505,12484692.4,439.6,-0.36,"27 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,701,Rs. 443.5,Rs. 431.1,Rs. 439.0,1.0,23561,10297952.9,438.0,0.23,"28 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,820,Rs. 440.0,Rs. 433.0,Rs. 434.2,-4.8,21106,9222303.0,439.0,-1.09,"31 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,690,Rs. 442.0,Rs. 427.0,Rs. 434.0,-0.2,21306,9290756.5,434.2,-0.05,"01 April, 2024"
RNLI,Reliable Nepal Life Insurance Limited,663,Rs. 440.0,Rs. 431.1,Rs. 435.1,1.1,16426,7168691.0,434.0,0.25,"02 April, 2024"
RNLI,Reliable Nepal Life Insurance Limited,676,Rs. 443.8,Rs. 435.1,Rs. 437.6,2.5,20330,8914070.9,435.1,0.57,"03 April, 2024"
RNLI,Reliable Nepal Life Insurance Limited,740,Rs. 439.5,Rs. 430.0,Rs. 431.1,-6.5,36531,15832559.1,437.6,-1.49,"04 April, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1427,Rs. 442.0,Rs. 422.5,Rs. 442.0,10.9,52195,22726516.5,431.1,2.53,"07 April, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1155,Rs. 450.0,Rs. 437.0,Rs. 437.1,-4.9,37439,16562424.1,442.0,-1.11,"09 April, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1055,Rs. 444.0,Rs. 429.0,Rs. 434.6,-2.5,48902,21273074.4,437.1,-0.57,"10 April, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1042,Rs. 433.0,Rs. 428.1,Rs. 430.5,-4.1,22339,9624164.3,434.6,-0.94,"14 April, 2024"
RNLI,Reliable Nepal Life Insurance Limited,768,Rs. 434.0,Rs. 428.0,Rs. 428.1,-2.4,27603,11884316.1,430.5,-0.56,"15 April, 2024"
