Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
VLUCL,Vision Lumbini Urja Company Limited,229,Rs. 457.9,Rs. 448.5,Rs. 454.0,6.7,9087,4117961.5,447.3,1.5,"12 May, 2024"
VLUCL,Vision Lumbini Urja Company Limited,157,Rs. 461.0,Rs. 450.1,Rs. 457.0,3.0,3960,1812890.6,454.0,0.66,"13 May, 2024"
VLUCL,Vision Lumbini Urja Company Limited,381,Rs. 484.0,Rs. 456.0,Rs. 479.9,22.9,26314,12451608.3,457.0,5.01,"14 May, 2024"
VLUCL,Vision Lumbini Urja Company Limited,269,Rs. 489.0,Rs. 462.0,Rs. 467.9,-12.0,14028,6672628.6,479.9,-2.5,"15 May, 2024"
VLUCL,Vision Lumbini Urja Company Limited,207,Rs. 473.8,Rs. 460.5,Rs. 464.0,-3.9,13476,6275346.7,467.9,-0.83,"16 May, 2024"
VLUCL,Vision Lumbini Urja Company Limited,353,Rs. 476.5,Rs. 460.0,Rs. 470.0,6.0,23380,11016593.5,464.0,1.29,"19 May, 2024"
VLUCL,Vision Lumbini Urja Company Limited,331,Rs. 485.3,Rs. 470.3,Rs. 480.0,10.0,20767,9965714.6,470.0,2.13,"20 May, 2024"
VLUCL,Vision Lumbini Urja Company Limited,661,Rs. 509.5,Rs. 476.0,Rs. 508.0,28.0,59146,29280888.2,480.0,5.83,"21 May, 2024"
VLUCL,Vision Lumbini Urja Company Limited,395,Rs. 518.1,Rs. 490.0,Rs. 497.0,-11.0,25700,12842167.1,508.0,-2.17,"22 May, 2024"
VLUCL,Vision Lumbini Urja Company Limited,285,Rs. 493.0,Rs. 480.6,Rs. 486.9,-10.1,14811,7186176.0,497.0,-2.03,"26 May, 2024"
VLUCL,Vision Lumbini Urja Company Limited,276,Rs. 493.9,Rs. 478.0,Rs. 484.0,-2.9,18508,8942301.8,486.9,-0.6,"27 May, 2024"
VLUCL,Vision Lumbini Urja Company Limited,385,Rs. 505.0,Rs. 484.0,Rs. 488.0,4.0,48930,24246952.6,484.0,0.83,"29 May, 2024"
VLUCL,Vision Lumbini Urja Company Limited,796,Rs. 515.0,Rs. 488.0,Rs. 507.7,19.7,68395,34557592.6,488.0,4.04,"30 May, 2024"
VLUCL,Vision Lumbini Urja Company Limited,512,Rs. 517.0,Rs. 508.0,Rs. 510.0,2.3,25839,13210252.7,507.7,0.45,"02 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,410,Rs. 518.0,Rs. 499.0,Rs. 504.0,-6.0,33316,16904351.0,510.0,-1.18,"03 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,271,Rs. 508.0,Rs. 492.0,Rs. 497.0,-7.0,14439,7211516.9,504.0,-1.39,"04 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,202,Rs. 499.0,Rs. 485.2,Rs. 487.0,-10.0,16451,8061859.3,497.0,-2.01,"05 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,646,Rs. 518.0,Rs. 483.1,Rs. 508.0,21.0,54403,27621136.5,487.0,4.31,"06 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,915,Rs. 535.0,Rs. 503.0,Rs. 530.0,22.0,89395,46783154.2,508.0,4.33,"09 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,569,Rs. 540.6,Rs. 519.0,Rs. 520.0,-10.0,55217,29226239.6,530.0,-1.89,"10 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,595,Rs. 535.5,Rs. 520.0,Rs. 530.0,10.0,42278,22381669.1,520.0,1.92,"11 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,445,Rs. 538.0,Rs. 516.0,Rs. 518.0,-12.0,42462,22339565.5,530.0,-2.26,"12 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,437,Rs. 524.9,Rs. 512.0,Rs. 512.0,-6.0,47721,24708704.7,518.0,-1.16,"13 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,339,Rs. 525.8,Rs. 512.1,Rs. 514.5,2.5,24039,12436591.2,512.0,0.49,"16 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,309,Rs. 516.0,Rs. 510.0,Rs. 510.6,-3.9,19521,9995446.0,514.5,-0.76,"18 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,275,Rs. 516.9,Rs. 500.4,Rs. 510.9,0.3,16972,8663163.0,510.6,0.06,"19 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,262,Rs. 511.5,Rs. 505.0,Rs. 506.1,-4.8,25353,12870706.1,510.9,-0.94,"20 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,266,Rs. 513.0,Rs. 505.0,Rs. 512.0,5.9,11725,5973961.4,506.1,1.17,"23 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,224,Rs. 519.9,Rs. 509.1,Rs. 512.5,0.5,12363,6322280.7,512.0,0.1,"24 June, 2024"
VLUCL,Vision Lumbini Urja Company Limited,414,Rs. 530.0,Rs. 511.1,Rs. 523.0,10.5,27496,14386802.1,512.5,2.05,"25 June, 2024"
