Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
NTC,Nepal Doorsanchar Company Limited,454,Rs. 833.8,Rs. 800.0,Rs. 812.9,-4.6,43828,35351272.4,817.5,-0.56,"26 June, 2024"
NTC,Nepal Doorsanchar Company Limited,318,Rs. 816.9,Rs. 803.0,Rs. 812.9,0.0,27286,22058438.3,812.9,0.0,"27 June, 2024"
NTC,Nepal Doorsanchar Company Limited,300,Rs. 879.7,Rs. 802.0,Rs. 809.0,-3.9,24459,19869915.2,812.9,-0.48,"30 June, 2024"
NTC,Nepal Doorsanchar Company Limited,506,Rs. 816.0,Rs. 800.0,Rs. 807.4,-1.6,38953,31342031.6,809.0,-0.2,"01 July, 2024"
NTC,Nepal Doorsanchar Company Limited,373,Rs. 852.0,Rs. 812.0,Rs. 818.0,10.6,30500,24924675.6,807.4,1.31,"02 July, 2024"
NTC,Nepal Doorsanchar Company Limited,201,Rs. 822.0,Rs. 812.0,Rs. 819.0,1.0,13705,11210465.4,818.0,0.12,"03 July, 2024"
NTC,Nepal Doorsanchar Company Limited,687,Rs. 835.3,Rs. 804.0,Rs. 810.0,-9.0,76731,62335035.8,819.0,-1.1,"04 July, 2024"
NTC,Nepal Doorsanchar Company Limited,393,Rs. 824.8,Rs. 808.2,Rs. 819.9,9.9,40969,33432393.3,810.0,1.22,"07 July, 2024"
NTC,Nepal Doorsanchar Company Limited,266,Rs. 823.9,Rs. 815.0,Rs. 816.0,-3.9,22093,18075395.3,819.9,-0.48,"08 July, 2024"
NTC,Nepal Doorsanchar Company Limited,248,Rs. 824.9,Rs. 814.0,Rs. 821.1,5.1,22317,18301134.6,816.0,0.62,"09 July, 2024"
NTC,Nepal Doorsanchar Company Limited,307,Rs. 831.0,Rs. 805.0,Rs. 827.1,6.0,29463,24341854.1,821.1,0.73,"10 July, 2024"
NTC,Nepal Doorsanchar Company Limited,393,Rs. 842.0,Rs. 832.0,Rs. 838.0,10.9,34297,28684629.0,827.1,1.32,"11 July, 2024"
NTC,Nepal Doorsanchar Company Limited,540,Rs. 871.0,Rs. 843.0,Rs. 853.9,15.9,47029,40053587.6,838.0,1.9,"14 July, 2024"
NTC,Nepal Doorsanchar Company Limited,466,Rs. 866.0,Rs. 846.2,Rs. 864.0,19.0,37773,32403545.3,845.0,2.25,"16 July, 2024"
NTC,Nepal Doorsanchar Company Limited,713,Rs. 881.2,Rs. 865.1,Rs. 874.0,10.0,52761,46078905.7,864.0,1.16,"17 July, 2024"
NTC,Nepal Doorsanchar Company Limited,1102,Rs. 943.0,Rs. 877.0,Rs. 909.0,35.0,101101,91344266.7,874.0,4.0,"18 July, 2024"
NTC,Nepal Doorsanchar Company Limited,1281,Rs. 951.6,Rs. 910.0,Rs. 933.5,24.5,122476,114650241.1,909.0,2.7,"21 July, 2024"
NTC,Nepal Doorsanchar Company Limited,862,Rs. 947.0,Rs. 920.0,Rs. 928.0,-5.5,91348,84975217.9,933.5,-0.59,"22 July, 2024"
NTC,Nepal Doorsanchar Company Limited,751,Rs. 946.0,Rs. 915.0,Rs. 939.0,11.0,73552,68632014.3,928.0,1.19,"23 July, 2024"
