Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
TAMOR,Sanima Middle Tamor Hydropower Limited,1002,Rs. 307.1,Rs. 295.1,Rs. 304.0,4.0,43802,13267962.0,300.0,1.33,"28 December, 2023"
TAMOR,Sanima Middle Tamor Hydropower Limited,694,Rs. 310.0,Rs. 293.0,Rs. 293.0,-11.0,32659,9800867.9,304.0,-3.62,"01 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,617,Rs. 298.0,Rs. 289.1,Rs. 293.0,0.0,44083,12900174.1,293.0,0.0,"02 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,709,Rs. 308.0,Rs. 290.0,Rs. 303.0,10.0,36179,10831220.9,293.0,3.41,"03 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,1292,Rs. 325.6,Rs. 302.1,Rs. 310.0,7.0,135496,42221250.7,303.0,2.31,"04 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,1745,Rs. 338.0,Rs. 305.0,Rs. 326.0,16.0,278711,91475388.5,310.0,5.16,"07 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,2422,Rs. 358.6,Rs. 324.0,Rs. 358.2,32.2,322296,112915893.6,326.0,9.88,"08 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,1524,Rs. 390.0,Rs. 362.0,Rs. 370.0,-12.0,198011,73841943.3,382.0,-3.14,"10 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,1991,Rs. 407.0,Rs. 370.0,Rs. 406.0,36.0,261660,101938828.7,370.0,9.73,"11 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,1592,Rs. 439.8,Rs. 406.0,Rs. 435.9,29.9,160296,68958412.1,406.0,7.36,"14 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,1609,Rs. 447.0,Rs. 424.0,Rs. 428.0,-7.9,190085,82334939.4,435.9,-1.81,"16 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,2114,Rs. 440.0,Rs. 410.2,Rs. 425.0,-3.0,256193,108578189.8,428.0,-0.7,"17 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,2469,Rs. 454.0,Rs. 402.0,Rs. 440.0,15.0,185207,81131875.1,425.0,3.53,"18 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,1357,Rs. 451.0,Rs. 423.0,Rs. 425.0,-15.0,107245,47131810.3,440.0,-3.41,"21 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,1228,Rs. 436.9,Rs. 411.0,Rs. 421.0,-4.0,107239,44989702.1,425.0,-0.94,"22 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,1045,Rs. 425.0,Rs. 409.0,Rs. 420.0,-1.0,49803,20725570.4,421.0,-0.24,"23 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,918,Rs. 423.0,Rs. 398.2,Rs. 406.0,-14.0,65010,26367175.5,420.0,-3.33,"24 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,908,Rs. 410.0,Rs. 395.0,Rs. 409.0,3.0,69253,27870905.9,406.0,0.74,"25 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,868,Rs. 415.0,Rs. 397.0,Rs. 406.0,-3.0,42985,17309915.2,409.0,-0.73,"28 January, 2024"
TAMOR,Sanima Middle Tamor Hydropower Limited,870,Rs. 414.1,Rs. 400.1,Rs. 405.0,-1.0,46510,18976041.4,406.0,-0.25,"29 January, 2024"
