Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
NIFRA,Nepal Infrastructure Bank Limited,1237,Rs. 231.5,Rs. 218.6,Rs. 225.0,2.0,188285,42464365.1,223.0,0.9,"25 January, 2024"
NIFRA,Nepal Infrastructure Bank Limited,1036,Rs. 227.5,Rs. 222.0,Rs. 224.0,-1.0,113129,25335486.0,225.0,-0.44,"28 January, 2024"
NIFRA,Nepal Infrastructure Bank Limited,1576,Rs. 240.0,Rs. 222.0,Rs. 229.1,5.1,339021,77775437.0,224.0,2.28,"29 January, 2024"
NIFRA,Nepal Infrastructure Bank Limited,1539,Rs. 236.6,Rs. 228.2,Rs. 233.3,4.2,280645,65580091.1,229.1,1.83,"30 January, 2024"
NIFRA,Nepal Infrastructure Bank Limited,1177,Rs. 237.9,Rs. 226.5,Rs. 227.0,-6.3,332401,77286097.2,233.3,-2.7,"31 January, 2024"
NIFRA,Nepal Infrastructure Bank Limited,840,Rs. 231.0,Rs. 223.0,Rs. 224.0,-3.0,111242,25040688.9,227.0,-1.32,"01 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,1069,Rs. 232.5,Rs. 222.0,Rs. 225.8,1.8,525058,120322299.3,224.0,0.8,"04 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,688,Rs. 229.0,Rs. 224.0,Rs. 224.9,-0.9,75251,16987147.6,225.8,-0.4,"05 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,739,Rs. 227.0,Rs. 224.1,Rs. 224.6,-0.3,91722,20720266.8,224.9,-0.13,"06 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,764,Rs. 229.0,Rs. 224.0,Rs. 225.4,0.8,90816,20484431.7,224.6,0.36,"07 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,775,Rs. 228.8,Rs. 224.1,Rs. 225.2,-0.2,101014,22814721.7,225.4,-0.09,"08 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,859,Rs. 230.0,Rs. 223.1,Rs. 223.2,-2.0,127756,28832639.0,225.2,-0.89,"11 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,760,Rs. 226.0,Rs. 222.5,Rs. 225.9,2.7,85725,19284171.2,223.2,1.21,"12 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,819,Rs. 224.5,Rs. 218.8,Rs. 220.0,-5.9,176132,38998318.3,225.9,-2.61,"13 February, 2024"
NIFRA,Nepal Infrastructure Bank Limited,628,Rs. 221.9,Rs. 217.1,Rs. 218.5,-1.5,70220,15355814.4,220.0,-0.68,"14 February, 2024"
