Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,346,Rs. 313,Rs. 305,Rs. 311.9,2.9,9054.00,2799255.00,309,0.94,"05 April, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,302,Rs. 313.5,Rs. 307,Rs. 309,-2.9,9742.00,3019930.20,311.9,-0.93,"06 April, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,417,Rs. 307,Rs. 300.1,Rs. 300.1,-8.9,16420.00,4984267.10,309,-2.88,"09 April, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,358,Rs. 308,Rs. 300.1,Rs. 305,4.9,6327.00,1924646.00,300.1,1.63,"10 April, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,446,Rs. 314.1,Rs. 300,Rs. 308.5,3.5,18474.00,5702871.00,305,1.15,"11 April, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,535,Rs. 320,Rs. 304.6,Rs. 319,10.5,27001.00,8535118.30,308.5,3.4,"12 April, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,412,Rs. 317.2,Rs. 307,Rs. 313,0.4,14834.00,4645435.60,312.6,0.13,"16 April, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,314,Rs. 313.1,Rs. 307,Rs. 308,-5.0,7903.00,2447069.60,313,-1.6,"17 April, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,252,Rs. 312.9,Rs. 305.6,Rs. 307,-4.0,16127.00,4961628.70,311,-1.29,"20 April, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,398,Rs. 309.9,Rs. 301.6,Rs. 302.2,-4.8,17473.00,5319119.40,307,-1.56,"23 April, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,437,Rs. 306,Rs. 296.2,Rs. 306,3.8,8835.00,2669244.20,302.2,1.26,"24 April, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,355,Rs. 308,Rs. 300,Rs. 305,-1.0,13150.00,4008316.80,306,-0.33,"25 April, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,268,Rs. 307,Rs. 300,Rs. 300,-5.0,9810.00,2970295.00,305,-1.64,"26 April, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,320,Rs. 303.7,Rs. 297,Rs. 297.5,-2.5,12830.00,3829143.00,300,-0.83,"27 April, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,290,Rs. 280.0,Rs. 268.0,Rs. 273.0,-7.0,19374,5256671.4,280.0,-2.5,"08 May, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,212,Rs. 291.3,Rs. 274.4,Rs. 282.5,2.5,11047,3093434.0,280.0,0.89,"11 May, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,184,Rs. 280.0,Rs. 275.1,Rs. 275.5,-7.0,3882,1070636.7,282.5,-2.48,"14 May, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,211,Rs. 278.4,Rs. 269.0,Rs. 274.0,-1.5,7816,2131152.6,275.5,-0.54,"15 May, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,185,Rs. 279.0,Rs. 270.2,Rs. 275.0,1.0,6060,1664885.0,274.0,0.36,"16 May, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,188,Rs. 280.5,Rs. 270.5,Rs. 280.0,5.0,4490,1249278.9,275.0,1.82,"17 May, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,310,Rs. 294.2,Rs. 275.0,Rs. 291.5,11.5,19593,5679033.8,280.0,4.11,"18 May, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,344,Rs. 297.0,Rs. 282.3,Rs. 287.0,-4.5,22690,6526403.2,291.5,-1.54,"21 May, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,222,Rs. 290.0,Rs. 281.4,Rs. 288.0,1.0,4459,1276223.0,287.0,0.35,"22 May, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,387,Rs. 299.0,Rs. 287.0,Rs. 298.6,10.6,18864,5567346.0,288.0,3.68,"23 May, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,356,Rs. 302.2,Rs. 294.2,Rs. 300.0,1.4,22954,6851631.8,298.6,0.47,"24 May, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,532,Rs. 307.9,Rs. 295.1,Rs. 302.0,2.0,26833,8115164.4,300.0,0.67,"28 May, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,302,Rs. 298.0,Rs. 288.0,Rs. 288.0,-14.0,18225,5336871.2,302.0,-4.64,"30 May, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,271,Rs. 290.0,Rs. 276.6,Rs. 280.0,-8.0,27771,7885702.0,288.0,-2.78,"31 May, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,221,Rs. 289.6,Rs. 275.0,Rs. 285.0,5.0,13149,3728006.8,280.0,1.79,"01 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,331,Rs. 301.9,Rs. 286.0,Rs. 300.0,15.0,12521,3707642.2,285.0,5.26,"04 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,476,Rs. 306.0,Rs. 295.1,Rs. 295.1,-4.9,25502,7654950.9,300.0,-1.63,"05 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,675,Rs. 312.0,Rs. 292.5,Rs. 311.8,16.7,53246,16266937.0,295.1,5.66,"06 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,614,Rs. 321.0,Rs. 309.0,Rs. 315.0,3.2,41608,13166509.6,311.8,1.03,"07 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,546,Rs. 319.0,Rs. 310.0,Rs. 312.1,-2.9,29423,9262134.3,315.0,-0.92,"08 June, 2023"
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,728,Rs. 319.0,Rs. 307.0,Rs. 316.0,3.9,43701,13797902.1,312.1,1.25,"11 June, 2023"
